日期,温室,传感器,数值
2026-09-01,A,温度,25.6
2026-09-01,A,湿度,57.4
2026-09-01,A,光照,10650.2
2026-09-01,B,温度,23.9
2026-09-01,B,湿度,68.8
2026-09-01,B,光照,13060.2
2026-09-01,C,温度,26.6
2026-09-01,C,湿度,58.4
2026-09-01,C,光照,11531.5
2026-09-01,D,温度,23.1
2026-09-01,D,湿度,60.5
2026-09-01,D,光照,12032.1
2026-09-01,E,温度,23.1
2026-09-01,E,湿度,60.2
2026-09-01,E,光照,12899.3
2026-09-02,A,温度,25.2
2026-09-02,A,湿度,60.5
2026-09-02,A,光照,12535.6
2026-09-02,B,温度,26.2
2026-09-02,B,湿度,57.1
2026-09-02,B,光照,13834.9
2026-09-02,C,温度,25.8
2026-09-02,C,湿度,62.4
2026-09-02,C,光照,9932.9
2026-09-02,D,温度,26.8
2026-09-02,D,湿度,62.4
2026-09-02,D,光照,9556.5
2026-09-02,E,温度,23.4
2026-09-02,E,湿度,70.6
2026-09-02,E,光照,12622.4
2026-09-03,A,温度,26.2
2026-09-03,A,湿度,68.7
2026-09-03,A,光照,12217.4
2026-09-03,B,温度,26.9
2026-09-03,B,湿度,63.1
2026-09-03,B,光照,12312.2
2026-09-03,C,温度,26.3
2026-09-03,C,湿度,66.9
2026-09-03,C,光照,14170.2
2026-09-03,D,温度,25.3
2026-09-03,D,湿度,68.3
2026-09-03,D,光照,9274.9
2026-09-03,E,温度,23.9
2026-09-03,E,湿度,61.6
2026-09-03,E,光照,9478.8
2026-09-04,A,温度,23.9
2026-09-04,A,湿度,58.6
2026-09-04,A,光照,10667.8
2026-09-04,B,温度,25.5
2026-09-04,B,湿度,62.8
2026-09-04,B,光照,11221.1
2026-09-04,C,温度,23.8
2026-09-04,C,湿度,61.3
2026-09-04,C,光照,14619.9
2026-09-04,D,温度,25.6
2026-09-04,D,湿度,66.7
2026-09-04,D,光照,10026.8
2026-09-04,E,温度,25.9
2026-09-04,E,湿度,59.6
2026-09-04,E,光照,11276.7
2026-09-05,A,温度,27.0
2026-09-05,A,湿度,67.2
2026-09-05,A,光照,12341.7
2026-09-05,B,温度,25.7
2026-09-05,B,湿度,70.5
2026-09-05,B,光照,13656.0
2026-09-05,C,温度,23.9
2026-09-05,C,湿度,57.5
2026-09-05,C,光照,10892.7
2026-09-05,D,温度,24.1
2026-09-05,D,湿度,60.4
2026-09-05,D,光照,14657.5
2026-09-05,E,温度,26.5
2026-09-05,E,湿度,62.0
2026-09-05,E,光照,12932.6
2026-09-06,A,温度,24.6
2026-09-06,A,湿度,71.6
2026-09-06,A,光照,11753.1
2026-09-06,B,温度,24.1
2026-09-06,B,湿度,60.9
2026-09-06,B,光照,12368.2
2026-09-06,C,温度,24.1
2026-09-06,C,湿度,66.4
2026-09-06,C,光照,14386.9
2026-09-06,D,温度,24.6
2026-09-06,D,湿度,60.5
2026-09-06,D,光照,14985.2
2026-09-06,E,温度,25.0
2026-09-06,E,湿度,58.5
2026-09-06,E,光照,9282.7
2026-09-07,A,温度,23.4
2026-09-07,A,湿度,67.0
2026-09-07,A,光照,13752.5
2026-09-07,B,温度,24.7
2026-09-07,B,湿度,58.0
2026-09-07,B,光照,11289.7
2026-09-07,C,温度,27.0
2026-09-07,C,湿度,65.5
2026-09-07,C,光照,14826.5
2026-09-07,D,温度,26.4
2026-09-07,D,湿度,57.2
2026-09-07,D,光照,13324.3
2026-09-07,E,温度,25.7
2026-09-07,E,湿度,65.6
2026-09-07,E,光照,10601.0
